State/UT,Type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Country,5850176,6086616,6138182,6267685,6349259,6463779,6950607,7641076,8115882,10224506
Andhra Pradesh,State,405909,248110,306618,310640,313285,355546,375777,401472,455000,556102
Arunachal Pradesh,State,1711,1543,2438,3645,2591,2939,3860,3490,3475,4093
Assam,State,111676,106810,114877,116778,130414,141012,142605,163057,187085,180476
Bihar,State,243466,143605,152202,204093,177021,261425,213989,359349,425047,526520
Chhattisgarh,State,142123,150592,172805,168034,182985,175035,177549,188211,191938,264790
Goa,State,12067,12196,12692,12738,13130,13020,13072,13851,14601,18337
Gujarat,State,315236,342612,346632,412322,417835,388316,433256,462284,523892,725537
Haryana,State,160633,161655,163274,168910,181138,174937,185842,188910,212238,255325
Himachal Pradesh,State,44271,41139,39301,41462,35819,39114,41833,43633,44449,53964
Jharkhand,State,112814,115149,132099,135542,130655,116393,102729,119374,119037,148587
Karnataka,State,407015,413635,411533,393731,420774,481747,483511,508584,551808,666402
Kerala,State,237615,260195,248242,252576,256130,263342,258530,270567,250983,339648
Madhya Pradesh,State,359342,372021,355425,311411,338587,370538,424257,493328,524454,702527
Maharashtra,State,651731,668887,669030,673824,666448,647161,667900,693800,808783,1009114
Manipur,State,4458,5993,6814,3504,,4130,4476,2990,2230,5896
Meghalaya,State,14310,13492,14674,15934,,13779,14779,18298,19191,20034
Mizoram,State,6503,6126,6444,6440,6422,5525,5525,6606,6703,8101
Nagaland,State,6996,7056,1975,2069,2137,1836,828,2266,2509,3780
Odisha,State,291027,287181,312821,321009,345527,322660,328799,342947,362982,439726
Punjab,State,193882,195731,200768,199461,213578,210398,213234,215045,229846,269605
Rajasthan,State,356946,401656,397468,409463,416992,424763,443173,451315,477151,475730
Sikkim,State,3510,3456,3427,3438,3496,3339,3386,3308,3543,4119
Tamil Nadu,State,496876,507578,547579,568271,563625,580496,574006,633897,687212,875012
Telangana,State,Included in Andhra Pradesh,156420,170145,192857,204917,178345,136528,228294,203127,234425
Tripura,State,9527,12224,9469,10154,10440,26296,29080,30419,31645,34307
Uttarakhand,State,33654,33216,34065,44147,48228,33931,47894,66313,62219,78550
Uttar Pradesh,State,668780,780905,724501,687416,608740,571170,906653,944596,873419,1352101
West Bengal,State,420014,470379,388045,403180,445540,442995,490530,551695,606714,693450
A & N Islands,Union Territory,2179,2108,2236,2163,2351,2137,2237,2616,2951,2943
Chandigarh,Union Territory,16203,16308,16378,16203,16570,21236,23330,23592,18370,21767
D & N Haveli and Daman & Diu,Union Territory,2269,2441,2443,2726,3040,3216,3343,3867,3414,5442
Delhi,Union Territory,104616,97185,121286,124516,141632,136117,145533,145284,142789,171476
Jammu & Kashmir,Union Territory,,37019,37747,36535,36431,37184,39410,44227,53070,58502
Ladakh,Union Territory,Included in Jammu & Kashmir,Included in Jammu & Kashmir,Included in Jammu & Kashmir,Included in Jammu & Kashmir,Included in Jammu & Kashmir,Included in Jammu & Kashmir,Included in Jammu & Kashmir,Included in Jammu & Kashmir,742,684
Lakshadweep,Union Territory,292,276,352,360,321,351,314,336,342,455
Puducherry,Union Territory,12525,11717,12377,12133,12460,13350,12839,13255,12923,16979
Ladakh and Jammu & Kashmir,Union Territory,,37019,37747,36535,36431,37184,39410,44227,53812,59186