year,cord,Source,color
2005,55,Anil Kumar,#FF671F
2006,63.4,Anil Kumar,#FF671F
2007,69.3,Anil Kumar,#FF671F
2008,66.4,Anil Kumar,#FF671F
2009,66.9,Anil Kumar,#FF671F
2010,67.4,Anil Kumar,#FF671F
2011,66.9,Anil Kumar,#FF671F
2012,69.3,Anil Kumar,#FF671F
2013,70.9,Anil Kumar,#FF671F
2014,74.3,Anil Kumar,#FF671F
2015,76.6,Anil Kumar,#FF671F
2000,57.6,Basu,#138808
2001,59.4,Basu,#138808
2002,65.8,Basu,#138808
2003,66.6,Basu,#138808
2004,64,Basu,#138808
2005,64.6,Basu,#138808
2006,72.8,Basu,#138808
2007,76.7,Basu,#138808
2008,74.3,Basu,#138808
2009,67.9,Basu,#138808
2010,66.5,Basu,#138808
2011,66,Basu,#138808
2012,66.8,Basu,#138808
2013,68.8,Basu,#138808
2014,69.6,Basu,#138808
2015,72.9,Basu,#138808
2016,73.7,Basu,#138808
2017,77,Basu,#138808
2018,80.6,Basu,#138808
2019,70.8,Saikia,#06038D
2020,70.8,Saikia,#06038D
2021,70.8,Saikia,#06038D